STATISTIC,PEARSON_CORRELATION,PEARSON_CORRELATION_ABS,SPEARMAN_CORRELATION,SPEARMAN_CORRELATION_ABS,PEARSON_CORRELATION_RANK,SPEARMAN_CORRELATION_RANK,AVERAGE_RANK
L,-0.986,0.986,-0.986,0.986,2,1,1.5
W,0.986,0.986,0.984,0.984,1,2,1.5
MOV,0.97,0.97,0.972,0.972,3,3,3.0
NRTG,0.97,0.97,0.971,0.971,4,4,4.0
SRS,0.967,0.967,0.969,0.969,5,5,5.0
ADJUSTED_MOV,0.967,0.967,0.969,0.969,6,6,6.0
ADJUSTED_NRTG,0.967,0.967,0.968,0.968,7,7,7.0
PW,0.957,0.957,0.957,0.957,8,8,8.0
PL,-0.957,0.957,-0.957,0.957,9,9,9.0
PLAYOFF_TEAM,0.806,0.806,0.833,0.833,10,10,10.0
ORTG,0.717,0.717,0.705,0.705,11,11,11.0
PER100_PTS,0.709,0.709,0.697,0.697,12,12,12.0
ADJUSTED_ORTG,0.696,0.696,0.682,0.682,13,13,13.0
DRTG,-0.67,0.67,-0.674,0.674,14,14,14.0
OPP_PER100_PTS,-0.662,0.662,-0.667,0.667,15,15,15.0
OPP_PER100_FG%,-0.662,0.662,-0.665,0.665,16,16,16.0
OPP_FG%,-0.662,0.662,-0.665,0.665,17,17,17.0
ADJUSTED_DRTG,-0.658,0.658,-0.664,0.664,18,18,18.0
TS%,0.637,0.637,0.614,0.614,19,19,19.0
FG%,0.607,0.607,0.585,0.585,20,20,20.0
PER100_FG%,0.607,0.607,0.585,0.585,21,21,21.0
DEFENSIVE_eFG%,-0.573,0.573,-0.58,0.58,23,22,22.5
OFFENSIVE_EFG%,0.602,0.602,0.577,0.577,22,23,22.5
OPP_PER100_AST,-0.551,0.551,-0.543,0.543,25,24,24.5
PER100_FG,0.561,0.561,0.539,0.539,24,27,25.5
OPP_PER100_2P%,-0.516,0.516,-0.539,0.539,29,25,27.0
FG%_2P,0.529,0.529,0.525,0.525,27,29,28.0
PER100_2P%,0.529,0.529,0.525,0.525,26,30,28.0
OPP_FG%_2P,-0.516,0.516,-0.539,0.539,30,26,28.0
AVERAGE_AGE,0.525,0.525,0.528,0.528,28,28,28.0
PER100_DRB,0.512,0.512,0.513,0.513,31,31,31.0
OPP_FG%_3P,-0.506,0.506,-0.499,0.499,34,32,33.0
OPP_PER100_3P%,-0.506,0.506,-0.499,0.499,35,33,34.0
FG%_3P,0.506,0.506,0.466,0.466,32,36,34.0
OPP_PER100_FG,-0.49,0.49,-0.484,0.484,36,34,35.0
PER100_3P%,0.506,0.506,0.466,0.466,33,37,35.0
ATTENDANCE/G,0.481,0.481,0.479,0.479,37,35,36.0
OPP_%FGA_DUNKS,-0.474,0.474,-0.461,0.461,38,38,38.0
TOTAL_ATTENDANCE,0.437,0.437,0.445,0.445,39,39,39.0
OPP_PER100_BLK,-0.435,0.435,-0.436,0.436,40,40,40.0
OPP_DUNKS_MADE,-0.417,0.417,-0.409,0.409,42,41,41.5
PER100_AST,0.423,0.423,0.387,0.387,41,44,42.5
OPP_PER100_TRB,-0.404,0.404,-0.397,0.397,43,42,42.5
FG%_0-3,0.389,0.389,0.388,0.388,44,43,43.5
PER100_TRB,0.373,0.373,0.376,0.376,45,45,45.0
OPP_PER100_DRB,-0.366,0.366,-0.357,0.357,48,47,47.5
FG%_16-3PT,0.369,0.369,0.341,0.341,47,48,47.5
SOS,-0.369,0.369,-0.336,0.336,46,49,47.5
OPP_%ASTD_2P,-0.347,0.347,-0.363,0.363,50,46,48.0
OPP_FG%_16-3PT,-0.355,0.355,-0.336,0.336,49,50,49.5
FG%_10-16,0.341,0.341,0.335,0.335,51,51,51.0
OPP_%ASTD_3P,-0.324,0.324,-0.321,0.321,52,52,52.0
OPP_FG%_0-3,-0.319,0.319,-0.318,0.318,53,53,53.0
OPP_FG%3_CORNER,-0.318,0.318,-0.308,0.308,54,54,54.0
PER100_BLK,0.313,0.313,0.301,0.301,55,55,55.0
PER100_TOV,-0.291,0.291,-0.293,0.293,57,56,56.5
PER100_3P,0.292,0.292,0.279,0.279,56,58,57.0
OPP_FG%_3-10,-0.283,0.283,-0.29,0.29,59,57,58.0
OPP_%FGA_10-16,0.282,0.282,0.277,0.277,60,59,59.5
FG%_3-10,0.288,0.288,0.267,0.267,58,61,59.5
OPP_%FGA_0-3,-0.278,0.278,-0.277,0.277,61,60,60.5
FG%3_CORNER,0.27,0.27,0.265,0.265,63,62,62.5
OFFENSIVE_TOV%,-0.267,0.267,-0.265,0.265,64,63,63.5
OPP_PER100_STL,-0.274,0.274,-0.255,0.255,62,65,63.5
OPP_FG%_10-16,-0.264,0.264,-0.265,0.265,65,64,64.5
%FGA3P_CORNER,0.262,0.262,0.253,0.253,66,66,66.0
OPP_PER100_FT,-0.243,0.243,-0.247,0.247,67,67,67.0
DEFENSIVE_FT/FGA,-0.234,0.234,-0.241,0.241,68,68,68.0
DEFENSIVE_DRB%,0.231,0.231,0.235,0.235,69,69,69.0
PER100_2PA,-0.223,0.223,-0.226,0.226,71,71,71.0
OPP_PER100_2P,-0.228,0.228,-0.224,0.224,70,72,71.0
OPP_PER100_FTA,-0.217,0.217,-0.223,0.223,73,73,73.0
OPP_LAYUPS_MADE,-0.208,0.208,-0.229,0.229,77,70,73.5
AVERAGE_DISTANCE,0.218,0.218,0.21,0.21,72,77,74.5
%FGA_2P,-0.214,0.214,-0.21,0.21,74,76,75.0
%FGA_3P,0.214,0.214,0.21,0.21,76,74,75.0
3PA_RATE,0.214,0.214,0.21,0.21,75,75,75.0
OPP_%FGA3P_CORNER,-0.2,0.2,-0.209,0.209,79,78,78.5
PER100_3PA,0.207,0.207,0.199,0.199,78,79,78.5
PER100_STL,0.192,0.192,0.188,0.188,80,80,80.0
PER100_PF,-0.182,0.182,-0.176,0.176,81,81,81.0
OPP_PER100_3P,-0.156,0.156,-0.168,0.168,83,82,82.5
PER100_FT,0.156,0.156,0.154,0.154,82,85,83.5
OFFENSIVE_FT/FGA,0.151,0.151,0.152,0.152,84,86,85.0
OPP_PER100_FT%,-0.142,0.142,-0.159,0.159,87,84,85.5
OPP_%FGA_3-10,0.138,0.138,0.159,0.159,89,83,86.0
%FGA_3-10,-0.142,0.142,-0.149,0.149,86,87,86.5
%FGA_DUNKS,0.143,0.143,0.131,0.131,85,91,88.0
PER100_FT%,0.137,0.137,0.141,0.141,90,88,89.0
OPP_PER100_FGA,0.134,0.134,0.138,0.138,91,89,90.0
DUNKS_MADE,0.141,0.141,0.126,0.126,88,93,90.5
OPP_PER100_PF,0.128,0.128,0.135,0.135,92,90,91.0
%FGA_LAYUPS,-0.123,0.123,-0.127,0.127,93,92,92.5
OPP_PER100_2PA,0.118,0.118,0.12,0.12,94,94,94.0
PER100_FTA,0.114,0.114,0.116,0.116,96,95,95.5
OPP_%FGA_LAYUPS,-0.116,0.116,-0.114,0.114,95,98,96.5
FGA_16-3PT,-0.112,0.112,-0.116,0.116,98,96,97.0
PER100_ORB,-0.106,0.106,-0.116,0.116,100,97,98.5
FT_RATE,0.112,0.112,0.113,0.113,99,99,99.0
%ASTD_2P,0.113,0.113,0.098,0.098,97,101,99.0
OPP_FGA_16-3PT,0.079,0.079,0.104,0.104,104,100,102.0
OPP_AVERAGE_DISTANCE,0.085,0.085,0.08,0.08,101,106,103.5
OPP_%FGA_3P,-0.079,0.079,-0.088,0.088,102,105,103.5
OPP_%FGA_2P,0.079,0.079,0.088,0.088,103,104,103.5
%FGA_0-3,-0.077,0.077,-0.096,0.096,105,102,103.5
OPP_PER100_3PA,-0.066,0.066,-0.074,0.074,108,107,107.5
OPP_PER100_TOV,0.075,0.075,0.067,0.067,106,109,107.5
HEAVE_ATTEMPTS,-0.053,0.053,-0.073,0.073,111,108,109.5
DEFENSIVE_TOV%,0.071,0.071,0.063,0.063,107,112,109.5
PER100_FGA,-0.055,0.055,-0.067,0.067,110,110,110.0
PACE,-0.059,0.059,-0.062,0.062,109,113,111.0
MP,-0.004,0.004,-0.093,0.093,119,103,111.0
HEAVE_MAKES,0.024,0.024,0.063,0.063,115,111,113.0
PER100_2P,0.048,0.048,0.052,0.052,112,114,113.0
OPP_PER100_ORB,-0.047,0.047,-0.05,0.05,113,115,114.0
%ASTD_3P,0.03,0.03,0.039,0.039,114,116,115.0
%FGA_10-16,-0.021,0.021,-0.035,0.035,116,117,116.5
LAYUPS_MADE,0.014,0.014,0.004,0.004,118,119,118.5
OFFENSIVE_ORB%,0.019,0.019,-0.0,0.0,117,120,118.5
G,-0.0,0.0,-0.011,0.011,120,118,119.0
